Дата создания журнала	Время записи данных в журнал	Показания энкодера	Показания энкодера в градусах 
05.08.2020			
	13:45:09.00	-1528.000000	2.260500
	13:45:24.23	-3187.000000	4.813500
	13:45:39.60	-4851.000000	7.332000
	13:48:23.01	-22667.000000	34.030500
	13:48:38.31	-24333.000000	36.466500
	13:48:53.67	-26009.000000	38.982000
	13:49:09.02	-27690.000000	41.499000
	13:49:24.35	-29348.000000	43.992000
	13:49:39.67	-31017.000000	46.482000
	13:49:55.05	-32688.000000	49.084500
	13:50:10.05	-34344.000000	51.463500
	13:50:25.10	-35969.000000	53.983500
	13:50:40.16	-37610.000000	56.385000
	13:50:55.49	-39288.000000	58.900500
	13:51:10.86	-40955.000000	61.417500
	13:51:25.89	-42588.000000	63.925500
	13:51:40.91	-44249.000000	66.312000
	13:51:56.27	-45907.000000	68.826000
	13:52:11.29	-47546.000000	71.326500
	13:52:26.66	-49225.000000	73.843500
	13:52:42.02	-50890.000000	76.302000
	13:52:57.36	-52570.000000	78.820500
	13:53:12.69	-54228.000000	81.312000
	13:53:28.03	-55911.000000	83.806500
	13:53:43.37	-57586.000000	86.290500
	13:53:58.71	-59233.000000	88.902000
	13:54:14.00	-60909.000000	91.356000
	13:54:29.03	-62548.000000	93.792000
	13:54:44.09	-64187.000000	96.313500
	13:54:59.12	-65842.000000	98.712000
	13:55:14.14	-67466.000000	101.230500
	13:55:29.42	-69146.000000	103.722000
	13:55:44.70	-70809.000000	106.165500
	13:55:59.89	-72451.000000	108.706500
	13:56:15.22	-74108.000000	111.220500
	13:56:30.58	-75788.000000	113.739000
	13:56:45.59	-77449.000000	116.113500
	13:57:00.95	-79108.000000	118.620000
	13:57:15.99	-80747.000000	121.126500
	13:57:31.31	-82426.000000	123.594000
	13:57:46.67	-84090.000000	126.102000
	13:58:01.97	10.000000	128.676000
	13:58:17.35	-87432.000000	131.112000
	13:58:32.64	-89107.000000	133.602000
	13:58:47.96	-90750.000000	136.182000
	13:59:03.32	-92428.000000	138.700500
	13:59:18.60	-94106.000000	141.187500
	13:59:33.93	-95785.000000	143.682000
	13:59:49.28	-97452.000000	146.142000
	14:00:04.56	-99125.000000	148.632000
	14:00:19.86	-100788.000000	151.125000
	14:00:35.22	-102448.000000	153.729000
	14:00:50.51	-104108.000000	156.220500
	14:01:05.86	-105788.000000	158.713500
	14:01:21.20	-107467.000000	161.209500
	14:01:36.20	-109092.000000	163.603500
	14:01:51.51	-110768.000000	166.182000
	14:02:06.88	-112428.000000	168.700500
	14:02:22.14	-114107.000000	171.169500
	14:02:37.48	-115785.000000	173.682000
	14:02:52.85	-117466.000000	176.145000
	14:03:08.18	-119129.000000	178.660500
	14:03:23.19	-120750.000000	181.180500
	14:03:38.51	-122427.000000	183.670500
	14:03:53.78	-124090.000000	186.105000
	14:04:09.10	-125770.000000	188.620500
	14:04:24.46	-127430.000000	191.116500
	14:04:39.72	-129089.000000	193.572000
	14:04:55.09	-130768.000000	196.191000
	14:05:10.33	-132428.000000	198.672000
	14:05:25.62	-134104.000000	201.163500
	14:05:40.98	-135784.000000	203.626500
	14:05:56.33	-137449.000000	206.140500
	14:48:00.30	-4.000000	0.006000
	14:48:15.60	-4.000000	0.006000
	14:48:46.98	-4.000000	0.006000
	14:49:02.02	-4.000000	0.006000
	14:49:27.90	-4.000000	0.006000
	14:49:48.09	-4.000000	0.006000
	14:55:38.98	-4.000000	0.006000
	14:55:54.31	-4.000000	0.006000
	14:57:14.18	-30956.000000	46.930500
	14:57:29.21	-60607.000000	91.581000
	14:57:44.27	-90567.000000	136.342500
	15:00:41.66	-163460.000000	244.717500
	15:01:51.78	-24091.000000	35.524500
	15:02:32.35	-75108.000000	112.632000
	15:02:47.40	-76747.000000	115.152000
	15:03:02.76	-78427.000000	117.670500
	15:03:18.03	-80089.000000	120.160500
	15:03:33.27	-81732.000000	122.653500
	15:05:17.51	-1474.000000	2.173500
	15:05:32.62	-3116.000000	4.639500
	15:13:18.36	-4041.000000	6.061500
	15:15:16.28	-4041.000000	6.061500
