Дата создания журнала	Время записи данных в журнал	Показания энкодера	Показания энкодера в градусах 
13.08.2020			
	09:23:41.71	-2890.000000	0.000000
	09:23:42.95	-5458.000000	8.665500
	09:23:44.18	-7905.000000	11.127000
	09:23:45.43	-10248.000000	16.017000
	09:23:46.67	-12707.000000	18.498000
	09:24:05.20	-11148.000000	21.015000
	09:24:06.47	-8759.000000	12.462000
	09:24:07.72	-6177.000000	9.999000
	09:24:21.18	-7004.000000	7.512000
	09:24:22.41	-9454.000000	14.833500
	09:24:23.66	-12047.000000	17.326500
	09:24:24.90	-14376.000000	22.228500
	09:24:26.15	-16976.000000	24.702000
	09:24:27.40	-19354.000000	29.676000
	09:24:28.63	-21786.000000	32.115000
	09:24:29.88	-24248.000000	37.032000
	09:24:31.13	-26849.000000	39.541500
	09:24:32.38	-29289.000000	44.424000
	09:24:33.76	-31936.000000	44.424000
	09:24:35.03	-34439.000000	51.085500
	09:24:36.39	-37234.000000	56.340000
	09:24:37.71	-39752.000000	56.340000
	09:24:38.71	-41751.000000	62.055000
	09:24:39.97	-44335.000000	67.003500
	09:24:41.52	-47303.000000	69.462000
	09:24:43.08	10.000000	75.343500
	09:24:44.31	-52844.000000	78.693000
	09:24:46.06	-56271.000000	85.075500
	09:24:47.30	-58883.000000	87.567000
	09:24:48.36	-60847.000000	90.714000
	09:24:49.83	115543044.000000	96.315000
	09:24:50.99	-66041.000000	99.744000
	09:24:52.20	-68573.000000	103.348500
	09:24:53.41	-70857.000000	106.944000
	09:24:54.81	-73742.000000	109.876500
	09:24:55.85	-75790.000000	112.321500
	09:24:57.50	-78947.000000	115.423500
	09:24:58.52	-80976.000000	120.387000
	09:24:59.67	-83254.000000	125.542500
	09:25:00.90	-85690.000000	129.204000
	09:25:02.17	-88214.000000	131.730000
	09:25:03.45	-90762.000000	136.792500
	09:25:04.73	-93402.000000	139.257000
	09:25:05.98	-95737.000000	144.276000
	09:25:07.21	-98323.000000	146.727000
	09:25:08.47	-100675.000000	151.672500
	09:25:09.72	-103281.000000	154.158000
	09:25:10.95	-105698.000000	159.043500
	09:25:12.19	-108166.000000	161.530500
	09:25:13.43	-110512.000000	165.172500
	09:25:14.67	-112966.000000	170.086500
	09:25:15.92	-115429.000000	172.566000
	09:25:17.16	-118019.000000	177.513000
	09:25:18.41	-120372.000000	180.019500
	09:25:19.94	-123369.000000	185.113500
	09:25:21.17	-123408.000000	185.112000
	09:25:22.40	-123408.000000	185.112000
	09:25:23.65	-123408.000000	185.112000
	09:25:24.93	-123407.000000	185.110500
	09:27:13.25	2633.000000	185.110500
	09:27:14.76	5752.000000	9.111000
	09:27:16.28	8654.000000	13.636500
	09:27:17.71	11478.000000	16.225500
	09:27:18.79	13757.000000	19.906500
	09:27:20.08	16171.000000	22.330500
	09:27:21.33	18750.000000	28.602000
	09:27:22.83	21742.000000	33.096000
	09:41:14.46	-1955.000000	2.310000
	09:41:15.58	-4062.000000	6.765000
	09:41:16.71	-6407.000000	8.964000
	09:41:17.83	-8637.000000	13.435500
	09:41:18.95	-10755.000000	15.675000
	13:55:50.05	-1967.000000	2.322000
	13:55:51.23	-4183.000000	6.981000
	13:55:52.44	-6714.000000	9.436500
	13:55:53.61	-8911.000000	14.056500
	13:55:54.81	-10253.000000	15.379500
	13:55:55.98	-10253.000000	15.379500
	13:55:57.15	-10253.000000	15.379500
	13:55:58.29	-10253.000000	15.379500
	13:55:59.42	-10253.000000	15.379500
	13:56:00.55	-10253.000000	15.379500
	13:56:01.68	-10253.000000	15.379500
	13:57:11.57	-12220.000000	17.706000
	13:57:12.72	-14522.000000	22.270500
	13:57:13.88	-14966.000000	22.449000
	13:57:15.01	-14966.000000	22.449000
	13:57:16.14	-14966.000000	22.449000
	13:58:59.11	-14966.000000	22.449000
	13:59:00.29	-14966.000000	22.449000
	13:59:01.47	-14966.000000	22.449000
	13:59:02.63	-14966.000000	22.449000
	13:59:03.80	-14966.000000	22.449000
	13:59:04.96	-14966.000000	22.449000
	13:59:10.86	-16859.000000	24.670500
	13:59:11.99	-19083.000000	29.115000
	13:59:13.11	-21203.000000	31.351500
	13:59:14.24	-23552.000000	35.817000
	13:59:15.37	-25778.000000	38.061000
	14:00:54.86	-26969.000000	40.453500
	14:00:56.03	-26969.000000	40.453500
	14:00:57.20	-26969.000000	40.453500
	14:52:24.99	-28809.000000	42.759000
	14:52:26.16	-31236.000000	47.374500
	14:52:36.87	-35119.000000	52.065000
	14:52:38.00	-37367.000000	56.533500
	14:52:39.13	-39593.000000	58.789500
	14:52:40.25	-41838.000000	63.237000
	14:52:43.46	-44116.000000	65.533500
	14:52:44.59	-46346.000000	70.009500
	14:52:45.72	-48590.000000	72.240000
	14:52:57.02	-49781.000000	74.671500
