Дата создания журнала	Время записи данных в журнал	Показания энкодера	Показания энкодера в градусах 
06.08.2020			
	09:03:59.63	-2.000000	0.003000
	09:05:39.41	-2.000000	0.003000
	09:05:54.74	-2.000000	0.003000
	09:47:12.74	-2.000000	0.003000
	09:47:34.96	-2.000000	0.003000
	09:48:24.66	-2.000000	0.003000
	09:49:07.44	-30335.000000	46.216500
	09:49:22.86	-60253.000000	89.878500
	09:49:38.00	-91011.000000	135.895500
	09:49:53.18	-120795.000000	181.272000
	09:57:41.96	-177515.000000	266.971500
	09:57:57.34	-207941.000000	311.440500
	09:58:12.52	-237594.000000	355.758000
	09:58:27.52	-22517.000000	33.292500
	09:58:42.85	-27998.000000	41.995500
	10:03:03.60	-28535.000000	43.548000
	10:09:32.99	28477.000000	42.240000
	10:09:48.36	58898.000000	89.104500
	10:10:03.59	89068.000000	133.119000
	10:10:18.97	119392.000000	179.091000
	10:15:42.71	-29755.000000	45.348000
	11:32:43.01	239994.000000	359.901000
