Дата создания журнала	Время записи данных в журнал	Показания энкодера	Показания энкодера в градусах 
04.08.2020			
	13:07:07.61	-9.000000	0.000000
	13:07:08.74	-131.000000	0.232500
	13:07:09.86	-267.000000	0.372000
	13:07:10.98	-388.000000	0.549000
	13:07:12.11	-507.000000	0.792000
	13:07:13.24	-628.000000	0.913500
	13:07:14.37	-748.000000	1.156500
	13:07:15.51	-871.000000	1.297500
	13:07:16.64	-997.000000	1.540500
	13:07:17.76	-1129.000000	1.662000
	13:07:18.89	-1249.000000	1.902000
	13:07:20.01	-1372.000000	2.022000
	13:07:22.00	-1588.000000	2.415000
	13:07:23.50	-1750.000000	2.656500
	13:07:25.01	-1909.000000	2.917500
	13:07:26.51	-2089.000000	3.078000
	13:07:28.02	-2240.000000	3.342000
	13:07:29.52	-2410.000000	3.582000
	13:07:31.04	-2580.000000	3.822000
	13:07:40.68	-2909.000000	4.359000
	13:07:42.19	-3073.000000	4.600500
	13:07:49.99	-3102.000000	4.648500
	13:07:51.51	-3248.000000	4.900500
	13:07:53.01	-3408.000000	5.142000
	13:07:54.89	-3610.000000	5.382000
	13:07:56.40	-3786.000000	5.629500
	13:07:58.28	-3987.000000	5.926500
	13:07:59.80	-4147.000000	6.192000
	13:08:01.31	-4308.000000	6.433500
	13:08:02.81	-4469.000000	6.678000
	13:08:04.32	-4633.000000	6.940500
	13:08:05.83	-4810.000000	7.182000
	13:08:07.33	-4969.000000	7.422000
	13:08:08.84	-5131.000000	7.663500
	13:08:10.34	-5293.000000	7.908000
	13:08:11.84	-5466.000000	8.172000
	13:08:13.71	-5668.000000	8.449500
	13:08:15.23	-5828.000000	8.713500
	13:08:17.10	-6028.000000	9.075000
	13:08:18.97	-6249.000000	9.319500
	13:08:20.47	-6409.000000	9.580500
	13:08:22.35	-6590.000000	9.942000
	13:08:24.22	-6809.000000	10.182000
	13:09:14.46	-6972.000000	10.458000
	13:09:16.00	-7108.000000	10.608000
	13:09:17.50	-7268.000000	10.872000
	13:09:19.01	-7430.000000	11.113500
	13:09:20.52	-7608.000000	11.358000
	13:09:22.02	-7769.000000	11.619000
	13:09:23.53	-7929.000000	11.860500
	13:09:39.68	-9689.000000	14.502000
	13:09:54.69	-11308.000000	17.019000
