Дата создания журнала	Время записи данных в журнал	Показания энкодера	Показания энкодера в градусах 
19.11.2020			
	10:23:24,46	-8404,000000	2,340375
	10:23:25,60	-16922,000000	6,835125
	10:23:26,74	-25483,000000	9,111750
	10:23:27,87	-34464,000000	13,608750
	10:23:29,01	-43496,000000	15,838125
	10:23:30,15	-52556,000000	20,363625
	10:23:31,29	-61922,000000	22,621500
	10:23:32,43	-70570,000000	27,144000
	10:23:33,57	-79618,000000	29,386125
	10:23:34,70	-89498,000000	33,883125
	10:23:35,84	-97545,000000	36,137250
	10:23:36,96	-106500,000000	40,607625
	10:23:38,10	-115524,000000	42,840000
	10:23:39,24	-124957,000000	47,349750
	10:23:40,38	-133528,000000	49,630125
	10:23:41,51	-142524,000000	54,119250
	10:23:42,95	-151550,000000	56,362125
	10:23:44,09	-162944,000000	61,786125
	10:23:45,23	-171947,000000	64,014000
	10:23:46,36	-180893,000000	68,515125
	10:23:47,50	-189901,000000	70,768125
	10:23:48,62	-198860,000000	75,244125
	10:23:49,75	-208341,000000	77,480625
	10:23:50,89	-217280,000000	81,970875
	10:23:52,10	-226447,000000	84,466500
	10:23:53,24	-235465,000000	88,949250
	10:23:54,37	-244453,000000	91,213875
	10:23:55,50	-253411,000000	95,689875
	10:23:56,64	-262374,000000	97,942500
	10:23:57,77	-271355,000000	102,412500
	10:23:58,91	-280365,000000	104,674875
	10:24:00,04	-289335,000000	109,147500
	10:24:01,17	-298260,000000	111,398625
	10:24:02,30	-307237,000000	115,872000
	10:24:03,43	-317093,000000	118,135125
	10:24:04,57	-325210,000000	122,609250
	10:24:05,70	-334188,000000	124,873125
	10:24:06,84	-343195,000000	129,354375
	10:24:07,97	-352162,000000	131,599125
	10:24:09,11	-361141,000000	136,084875
	10:24:10,25	-371059,000000	138,363000
	10:24:11,39	-379637,000000	142,872375
	10:24:12,52	-388655,000000	145,125750
	10:24:13,65	-397612,000000	149,597250
	10:24:14,79	-406576,000000	151,856250
	10:24:15,92	-415146,000000	156,340125
	10:24:17,06	-424171,000000	158,590125
	10:24:18,20	-433231,000000	163,111875
	10:24:19,34	-442216,000000	165,380625
	10:24:20,47	-451229,000000	169,870125
	10:24:21,61	-460221,000000	172,121625
	10:24:22,75	-469263,000000	176,640375
	10:24:23,89	-478227,000000	178,881000
	10:24:25,02	-480009,000000	180,003375
	10:24:26,15	-480008,000000	180,003000
	10:24:27,29	-480008,000000	180,003000
	10:24:28,43	-480008,000000	180,003000
	10:24:29,57	-480008,000000	180,003000
	10:24:30,95	-480008,000000	180,003000
	10:24:32,10	-480008,000000	180,003000
	10:24:33,24	-480008,000000	180,003000
	10:24:34,36	-479999,000000	179,999625
	10:24:35,50	-479999,000000	179,999625
	10:24:36,64	-480000,000000	180,000000
	10:24:37,77	-480000,000000	180,000000
	10:24:38,90	-480000,000000	180,000000
	10:24:40,03	-480000,000000	180,000000
	10:24:41,18	-480000,000000	180,000000
	10:24:42,31	-480000,000000	180,000000
	10:24:43,45	-480000,000000	180,000000
	10:24:44,58	-480000,000000	180,000000
	10:24:45,72	-480000,000000	180,000000
	10:24:46,85	-480000,000000	180,000000
	10:24:47,99	-480000,000000	180,000000
	10:24:49,13	-480000,000000	180,000000
	10:24:50,27	-480000,000000	180,000000
	10:24:51,40	-480000,000000	180,000000
	10:24:52,46	-480000,000000	180,000000
	10:24:53,60	-480000,000000	180,000000
	10:24:54,74	-480000,000000	180,000000
	10:24:55,88	-480000,000000	180,000000
	10:24:57,01	-480000,000000	180,000000
	10:24:58,15	-480000,000000	180,000000
	10:24:59,30	-480000,000000	180,000000
	10:25:00,44	-480000,000000	180,000000
	10:25:01,58	-480000,000000	180,000000
	10:25:02,71	-480000,000000	180,000000
	10:25:03,85	-480000,000000	180,000000
	10:25:04,98	-480000,000000	180,000000
	10:25:06,12	-480000,000000	180,000000
