Дата создания журнала	Время записи данных в журнал	Показания энкодера	Показания энкодера в градусах 
10.08.2020			
	12:31:05.37	-1549.000000	2.296500
	12:31:20.66	-3225.000000	4.857000
	12:31:35.70	-4867.000000	7.311000
	12:31:51.02	-6528.000000	9.822000
	13:16:46.33	-10028.000000	14.950500
	13:17:01.50	-12028.000000	18.090000
	13:17:16.59	-13668.000000	20.440500
	13:18:40.06	-16835.000000	25.302000
	13:18:55.19	-18505.000000	27.730500
	13:23:47.75	-60865.000000	92.770500
	13:24:02.93	-119949.000000	178.812000
	13:24:18.29	-182008.000000	274.209000
	13:24:33.53	-240009.000000	0.000000
	13:25:08.41	-60340.000000	92.047500
	13:25:23.64	-121021.000000	182.587500
	13:25:38.76	-180713.000000	269.701500
	14:25:32.09	-47843.000000	70.551000
	14:27:44.14	-116451.000000	173.152500
	14:27:59.49	-177093.000000	264.393000
	14:28:14.87	-238045.000000	358.372500
	14:31:25.63	13187.000000	21.264000
	14:31:41.02	74148.000000	110.319000
	14:31:56.09	2803.000000	199.903500
